bce 
bear creek 
bce 
bce inc 
bce  
the canadian 
caribbean investment 
b.mexicana de 
brunello cucinelli 
banque cantonale 
bcb berhad
banca popolare 
0
0
bper banca 
bca mediolanum
bolsa mexicana 
brocade cmnct.sys 
0
bcl forgings 
powermatic data 
banco latinoamericano 
bcv.a
mlp.to
0
banque cantonale 
it now 
banco do 
bce inc 
bechtle ag 
ceiba energy 
bangkok chain 
banco do 
0
equitorial exploration 
0
0
banco de 
brightpath early 
0
bechtle ag 
the boeing 
barclays plc
0
bolsa mexicana 
0
banco comercial 
it now 
0
0
banco indusval 
banco di 
bce  
china flexible 
0
bcl enterprises 
bradstone capital 
navasota resources 
0
0
bcworldpharm
barry callebaut 
real estate 
it now 
banco mercantil 
0
basicnet s.p.a.
vivione biosciences 
ingxabo corporation
0
bce 
boeing dl 
bechtle ag
ingxabo corporation
bcd resources 
the boeing 
bc iron 
hemang resources 
8325.two
bc moly 
banco do 
bcg16.ba
bco com. 
0
bechtle ag 
bce 
0
0
0
0
bce 1st 
brocade cmnct.sys 
ciudad autonoma 
0
barry callebaut 
barry callebaut 
bluerock ventures 
becker milk
derechos banco 
beech hldgs 
bper banca 
golden coast 
vivione biosciences 
banca pop. 
societe anonyme 
new look 
bque cant.vaud.nam.sf 
bca pop. 
banca mediolanum 
bca pop.di 
td bank 
banco mercantil 
bechtle ag 
b.c. power 
banpara on
bce 1st 
bell copper 
bce  
barry callebaut 
0
bper banca 
blue capital 
0
banco de 
barclays plc 
brockman mining 
0
bank of 
0
bca marketplace 
0
british control 
citizens national 
onenergy inc
0
0
td bank 
bechtle ag 
cvb financial 
ishares public 
maxtech ventures 
fortis inc 
brocade communicat.systems 
bc21.sg
bhanot construction 
great bear 
1bc1.f
0
stonepoint energy 
0
banco indusval 
bechtle ag
0
pyxis finvest 
it now 
brookfield global 
bangkok chain 
banco indusval 
bank of 
0
balincan usa
barclays plc
boise cascade 
balramchin*
0
british controlled 
vivione biosciences
rio bravo 
motor sich 
banco macro 
banca mediolanum 
kuuhubb 
bc iron 
brocade cmnct.sys 
bca pop.di 
travelite holdings 
jayden resources 
banco latinoamer.d.come.ext.sar
bce inc 
bco pop. 
broome capital 
bcc.ax
boeing dl 
banestes recebiveis 
boise cascade 
bechtle ag 
bce 1st 
bce  
0
boeing dl 
motor sich 
pt bumi 
baristas coffee 
banco do 
wm rb 
bcc fuba 
biocancell ltd.
0
0
fd inv 
intl city 
bce inc 
chemring group 
fd inv 
bcdmd
bc iron 
barclays plc 
bechtle ag
bca pop. 
biocartis group 
bco pop. 
boeing registered 
bank of 
ishares s&p 
brack capital 
0
john lewis 
bc moly 
pembina pipeline 
bangchak corporation 
barclays plc
banco indusval 
berner kantonalbank 
arianne phosphate 
boise cascade 
0
gravitas financial 
boeing dl 
bce 
bce  
brocade communications 
bc iron 
0
bce  
barco n.v. 
bco santander 
0
barclays plc
bce  
cardinal capital 
bombardier 
bioadaptives
stakeholder gold 
breaking data 
parkit enterprise 
philippine metals 
leadfx 
geodex minerals 
galway metals 
cmc metals 
bertrandt ag 
bombardier 
beadell resources 
canex energy 
bdr buildcon 
brewin dolphin 
brandywine realty 
bond international 
larry jewel-old
capital vc 
bertrandt ag 
bioadaptives
bdll3f.sa
fullgoal shou 
capital vc-old
banco de 
bertrandt ag 
eastern holdings 
bertrandt aktiengesellschaft
clarus corporation
0
tesoro minerals 
albireo pharma
dundee corp 
0
pembina pipeline 
targeted microwave 
buenos aires 
best denki, 
red eye 
royal bank 
0
cielo waste 
harvest fund 
royal bank 
tate & 
0
bgeo group 
0
ir resource 
bourse direct 
0
0
partners value 
rui kang-old
borders & 
icc international 
banco de 
century global 
0
bns preferred 
arcpacific resources 
lewis (john) 
bangkok dusit 
baron de 
0
0
blackeagle development 
eagle energy 
bradesco lsgd31
bd4c6.ba
bradesco lsgd41
bradesco lsgd41
blow & 
moneysupermarket com
vatic ventures 
canoe canadian 
organto foods 
super nova 
auto sys 
relevium technologies 
bmo cl 
ishares silver 
horizon petroleum 
sunvest minerals 
bertrandt ag 
bdl.a
sho-p.v
gsh corporation 
bangkok dusit 
broadvision  
willas-array electronics 
bdedd.ba
bradesco lsgd11
margaux resources 
bns preferred 
bco de 
becton, dickinson 
blue dolphin 
bns preferred 
bdy.si
bde2.mu
cnewecon f 
fischer tech 
biodelivery sciences 
bertrandt aktiengesellschaft
partners value 
laurentian bank 
finsoft fin 
bertrandt aktiengesellschaft
belvedere resources 
cardinal capital 
karoo exploration 
0
bonduelle  
rise resources 
bird river 
gigastorage corp 
excelpoint technology 
ciudad autonoma 
philippine metals 
pacific therapeutics 
bradesco lsgd31
national bank 
the bidvest 
bdll4f.sa
biodel  
bdk.mc
0
bdh industries 
bonduelle sa
easy technologies 
0
0
bradesco lsgd11
broadvision  
bradesco lsgd31
bdma.be
0
bertrandt ag 
backstageplay 
pne industries 
bdr.a
bdr buildcon 
0
chitrchatr communications 
0
low & 
bdqn.be
brederode sa
balta group 
new ray 
bardella  
bangkok dusit 
huisheng i 
ecuador gold 
0
federal international 
gold-fin h-old
biodelivery scie. 
jinhui
velocity minerals 
biodelivery sciences 
0
royalty north 
nexoptic technology 
goldon resources 
chicago bridge+ir. 
0
north haven 
bertrandt ag 
transcanada corp 
bradesco lsgd11
beijing urban 
explorex resources 
bardella  
henry boot 
bangkok dusit 
ir resource-old
bdma.f
power fin 
rbc pref 
halio energy 
urban select 
goldstar minerals 
victorycity rts
0
sonoma resources 
margaux resources 
bdr buildcon 
bradesco lsgd51
bradesco lsgd41
karoo exploration 
mendoza (province 
toachi mining 
black diamond 
bradesco lsgd11
bco de 
bdc16.ba
libero mining 
bd2c6.ba
belk 
0
sofina soci?t? 
ice concept 
strats tr 
genting berhad
south beach 
bexil corporation
bpost sa/nv
beni stabili 
bedrocan cannabis 
belvoir lettings 
belk 
befut international, 
science to 
beml limited
the becker 
0
spring gallery 
mkh berhad
sunway construction 
tanah makmur 
sunsuria berhad
thrombogenics nv
tessenderlo group 
soci��te de 
somi conveyor 
snl bearings 
sapec sa
soci?t? anonyme 
resilux nv
reckitt benckiser 
pt tower 
the pulse 
premium beverage 
natural beauty 
0
orange belgium 
orange belgium 
orange belgium 
green energy 
miko nv
melexis n.v. 
manpasand beverages 
iep invest, 
continental bev
betapro crude 
ho bee 
great bear 
bewhere holdings 
0
gimv nv
genting berhad
gajra bevel 
floridienne 
fag bearings 
eckert & 
evs broadcasting 
euronav nv
rosier sa
econocom group 
gbl sa
dexia sa
immolease trust 
deceuninck nv
deccan bearings 
china resources 
brouwerij handelsmaatschappij 
china res 
continental beverage 
bezant resources
bezeq the 
benz mining 
proximus plc
beaver coal, 
benitec biopharma 
ben tam
belo sun 
beta systems 
benesse holdings
bearing resources 
berjaya corporation 
bearclaw capital 
berkley renewables 
bpost sa/nv
0
benitec biopharma 
bengal energy 
bemax 
benchmark holdings 
bellway plc
belvedere resources 
bellus health 
bell industries
beamz interactive
berkshire homes
berkeley energia 
the berkeley 
the berkeley 
bekaert n.v. 
berkwood resources 
berjaya sports 
beijing enterprises 
beijing enterprises 
beijing enterprises
beijing capital 
bellhaven copper 
bellus health 
bezeq the 
blacksteel energy 
benton resources 
bewhere holdings 
farmacias benavidesb. 
epic stores 
be think, 
be semiconductor 
besco ltd.
beryl drugs 
berger paints 
be resources 
beach energy 
bhansali engineering 
beowulf mining 
bio-en holdings 
butte energy 
b?n?teau 
beml limited
bemco hydraulics 
beta music 
beowulf mining 
beluga nv
bell rose 
nv bekaert 
beiersdorf ag 
blackstar enterprise 
begbies traynor 
beesfree
minerva 
beckons industries 
b&c speakers 
berger paints 
0
enra group 
ml global 
handal resources 
ewein berhad
power root 
a-rank berhad
hovid berhad
tafi industries 
success transformer 
sws capital 
0
perdana petroleum 
hck capital 
0
tiger synergy 
6262@bn.kl
metrod holdings 
best union 
bearclaw capital 
0
dolphin international 
reach energy 
7-eleven malaysia 
sona petroleum 
titijaya land 
elk-desa resources 
0
sunway berhad
eversendai corporation 
msm malaysia 
0
tasco berhad
complete logistic 
petra energy 
melati ehsan 
rimbunan sawit 
icapital.biz berhad
iq group 
can-one berhad
scientex berhad
tadmax resources 
reckitt benckiser 
0
genting plantations 
symphony life 
maa group 
compagnie du 
0149@bn.kl
mega sun 
0055@bn.kl
g neptune 
mmag holdings 
0
0
0
berkshire hathaway 
beaufield resources 
0
5265@bn.kl
0
bergepaint6.bo
china green 
think media 
beeyu overseas 
0
5219@bn.kl
hms bergbau 
stone master 
0
sofina
goldman sachs 
dexia  
0
nyrstar nv
ion beam 
0
china international 
0
0
5190@bn.kl
galapagos nv
betex india 
schaeffler india 
0
orange belgium 
0
biocartis group 
modern bea.sal.hold.hd-10
lian beng 
thai beverage 
4022@bn.kl
ea holdings 
econocom group 
0
bpost  
wcm beteiligungs- 
0
7889@bn.kl
muar ban 
0
29b1.f
0
u&i learning 
0
celyad sa
china res 
0
benchmark el. 
galapagos n.v. 
heidelberger beteilig.hldg 
alset energy 
keyware technologies 
0
2291@bn.kl
0
0
max21 ag
0
dni beteiligungen 
bentley capital 
investimentos bemge 
kim teck 
sch group 
0
0
0
0
bellevue grp 
0
0
0
pansar bhd
green ocean 
silver bear 
5211@bn.kl
rcm beteiligungs 
berjaya land 
deutsche beteiligungs 
recticel nv/sa
0
0
0
malakoff corporation 
cofinimmo 
picanol nv
etn. fr. 
international spirit 
pt. bank 
wcm bet.grd.ag 
malayan banking 
0
0
0
8613@bn.kl
becton, dickinson 
the berkeley 
ganesh benzoplast
0
umicore  
bellhaven copper 
suntory beverage 
0
tas offshore 
brahim's holdings 
0
bel4.bo
befimmo nv/sa
0
0
0
saudee group 
0
bedmutha industries 
0
bear creek 
boustead plantations 
china food 
mphb capital 
solvay  
shariabee.ns
0
becton, dickinson 
viohalco 
emd music 
south beach 
iep invest, 
beml limited
0
farm's best 
bellway plc 
genting malaysia 
berl.effektenges.ag o.n.
silver bear 
0
0
5149@bn.kl
0
sgf16-c.si
berentzen-grp.ag
0
thrombogenics n.v. 
0
0
0
dufu technology 
0
nyrstar nv
0
china resources 
berentzen-grp.ag
0
farmacias benavidesb. 
0112@bn.kl
tigenix n.v.
0
corts trust 
0158@bn.kl
0
berentzen-grp.ag
0
bery.be
5162@bn.kl
7212@bn.kl
0
0
randall bearings
5082@om.kl
berkeley group 
0
sinotop holdings 
china bearing 
best pacific 
kst beteiligungs 
2259@bn.kl
beleave 
0
0
0
balfour beatty 
tambun indah 
umicore  
thrombogenics nv
leon fuat 
bhf kleinwort 
0
0
bep.be
0167@om.kl
berau coal 
bangkok expressway 
0
berl.effektenges.ag o.n.
beate uhse 
roularta media 
beautiful china 
tataglobal4.bo
0
betapro natural 
0
recticel
0
0
0
telenet group 
bhansali engineering 
econpile holdings 
turtle beach 
kbc group 
focus dynamics 
0
0
pt martina 
5208@bn.kl
0
sofina soci?t? 
6012@bn.kl
cofinimmo /n.v. 
gimv nv
grand-flo berhad
0
kerjaya prospek 
5160@bn.kl
be think, 
besra gold 
0
benton financial 
cyberfort software
goldis berhad
panpages berhad
5184@bn.kl
0
cmb nv
proximus
cypark resources 
cofinimmo 
0118@bn.kl
rjt.be
0
0
be semiconductor 
berentzen-grp.ag
benitec biopharma
bellhaven copper 
mdxhealth sa
0
berjaya food 
comfort gloves 
pt betonjaya 
0170@bn.kl
viohalco 
best buy
smartphoto group 
gbl sa
beowulf mining 
0
connect group 
berkwood resources 
belle isle 
pcb nv
mikro msc 
b?n?teau 
pestech international 
belmont resources 
beekay niryat 
5216@bn.kl
telenet group 
barco nv
fluxys belgium 
dxb.f
beter bed 
belapur industries 
0
bethpage capital 
0161@bn.kl
0
0
beijing enterprises 
benchmark mutual 
0
0
belluna, ltd.
nsrnberger beteiligungs-aktiengesellschaft
0
7168@bn.kl
china green 
0
orange belgium 
rcm beteiligungs 
elia system 
befimmo nv/sa
be semiconductor 
gbk beteilig.ag 
mega first 
berksh. h.b 
talwalkars better 
bntm-l.ta
0
0
0
0
modern beauty 
5250@bn.kl
0156@bn.kl
leasinvest real 
tune protect 
vastned retail 
sapura energy 
biocartis group 
reliance nippon 
paddy power 
tata global 
condor international
0
0
d'ieteren p.s.
beghelli s.p.a.
5213@bn.kl
beiersdorf ag 
trinity exploration 
bedmutha industries 
d'ieteren sa
7137@om.kl
0
sersol berhad
evs broadcast 
managepay systems 
5259@db.kl
belvedere resources 
softimat 
0
0
immobiliere distri-land 
0
five below
fag bearings 
arambhan hospitality 
skh consortium 
0
reckitt benck.grp 
beijing capital 
materion  
thai beverage 
belle international 
7079@bn.kl
0
0
9741@bn.kl
dolomite corporation 
beximco pharma.gdr 
berger paints 
berlian lajutank
bemis company
0
0
5204@bn.kl
5148@bn.kl
beijing enterprises
0
horizons betapro 
mct berhad
0
beni stabili 
0
fige3f.sa
tessenderlo group 
0
beardsell ltd 
0
0
bebe stores 
beta syst.softw.ag 
0
menon bearings 
0
0
home invest 
fag bearings 
0
0
best union 
0
berentzen-grp.ag
0
0
proximus plc
union bearings 
privasia technology 
berlian laju 
ludw.beck a.rathauseck
bekaert p.s.
nrb industrial 
0
0
bellicum pharmaceuticals 
0
0
galapagos nv
0
1058@om.kl
0
0
recticel  
4456@bn.kl
alset minerals 
0
telenet group 
bee electronic 
0
3794@bn.kl
beazley plc
beazer homes 
deceuninck nv
unibios hldgs 
tata global 
be group 
berkeley energia 
heidelberger beteiligungsholding 
0
better environment 
beate uhse 
genetec technology 
9806@om.kl
newtree 
1198@bn.kl
berlian laju 
dt.beteilig.ag na 
bellicum pharmaceuticals
bee vectoring 
betapro us 
0
beiersdorf aktiengesellschaft
0
magnum berhad
0
petronas chemicals 
beni stabili 
9474@bn.kl
orientbel.ns
0
ludwig beck 
fagron n.v. 
manpasand beverages 
0
cincinnati bell 
nyrstar nv
beiersdorf ag 
0
fige4f.sa
china green 
berner kantonalbank 
ginger beef 
indoor and 
berliner effektengesellsch.ag 
0
growners
5200@bn.kl
0
bentley commercial 
brookfield renewable 
vgp nv
bpost sa/nv
0
rjt.f
0
manpasand beverage 
groupe bruxelles 
5237@bn.kl
pt berlina 
4715@bn.kl
0
0
bettwork industries 
riverview rubber 
0
recticel nv/sa
eita resources 
maxwell international 
0
0080@bn.kl
0
berkshire hathaway 
comm.va wereldhave 
th heavy 
beijing capital 
0
lebtech berhad
delhaize grp 
best of 
0
0
5797@bn.kl
nv bekaert 
d'ieteren sa
hms bergbau 
retail estates 
elia system 
patriot berry 
0
fagr.as
0
turbo-mech berhad
option nv
0
grpe bruxelles 
cofinimmo
retail estates 
0
betsson ab
bimetal bearings 
bpost sa/nv
greenyard foods 
mithra pharmaceuticals 
0
bemis company 
0
5078@bn.kl
max21 ag
0154@bn.kl
alset energy 
0
jumbo 
0
voir holdings 
delhaize grp 
7206@bn.kl
trive property 
northern bear 
0169@bn.kl
0
nrb bearings 
solid automotive 
solvay  
cofinimmo 
fng group 
0
0
0034@bn.kl
0
0
0
nrb industrial 
0
manulife holdings 
7163@om.kl
elia system 
heidel.beteil.hldg ag
0
galapagos nv
proximus 
eng kah 
0
ludw.beck a.rathauseck
benzo petro 
resilux nv
beekay steel 
lung kee 
capital beverage 
beardsell ltd 
0
compagnie d'entreprises 
campine nv
0
0
0
berlin iv 
tecnic group 
tigenix n.v.
thriven global 
globaltec formation 
rcm beteiligungs 
shram bearin
0
3743@bn.kl
beate uhse 
0
focus lumber 
premier nalfin 
0
sentoria group 
0
ioi properties 
0
0
signature international 
nsrnberger beteiligungs-aktiengesellschaft
monster bever.new 
0
umicore  
0
fagron nv
0
silk holdings 
bellway p.l.c.
bellatrix exploration 
realdolmen nv
0
berksh. h.b 
bellevue group 
kst beteiligungs 
elia system 
ihh healthcare 
viohalco 
berger paints 
0
bangkok expressway 
5401@bn.kl
5205@bn.kl
china green 
home invest 
ucb sa
bhfkb.br
wbr.v
0
0
cofinimmo
sig gases 
champion bear 
0
nuernberger bet.ag 
hamon & 
elia system 
berentzen-gruppe aktiengesellschaft
0
ihh healthcare 
belle intl 
0
censof holdings 
uem edgenta 
0
beni stabili 
0
0
china best 
4723@bn.kl
option n.v. 
0
benesse holdings 
lebanese company 
ni hsin 
0
0
lht holdings 
financi?re de 
monster beverage 
0
beiersdorf ag 
alset energy 
berksh. h.b 
sarawak cable 
0
beauty community 
0
5220@bn.kl
0
fagron nv
beowulf mining 
5241@bn.kl
elia system 
0
california beach 
belle intl 
caring pharmacy 
woluwe extension 
jensen-group nv
retail estates 
0
tinley beverage 
0
0
montea comm.va
nbi bearings 
tomei consolidated 
beta-kappa investments 
0
0
bellway plc 
0
dalenys
wo group
telenet group 
beng kuang 
0
dagang nexchange 
beiersdorf ag 
tinc comm. 
karex berhad
0
beijing media 
m1 kliniken 
compagnie du 
bel6.bo
bezant resources 
benitec biopharma 
be heard 
paddy pwr 
0
0
bec world 
graphic charts 
0
0
0
melexis nv
max21 ag
benefitfocus
5195@bn.kl
0
gbk beteiligungen 
talwalkars better 
berdn.is
0
reckitt benck.grp 
0
0
nrb bearings 
0
vision it 
favelle favco 
0
0178@bn.kl
fagbearing6.bo
fagron nv
bpost  
m1 kliniken 
0
th plantations 
0
0
investimentos bemge 
0
0
berkeley grp 
colruyt
ivory properties 
pwf consolidated 
euronav nv
kko international 
warehouses de 
nifty jr 
0
benchmark electronics
5249@bn.kl
home invest 
bengal tea 
comm.va wereldhave 
4energy invest 
0
orient bell 
0
belgian resources 
0
5094@bn.kl
careplus group 
mechelen city 
monster bever.new 
fibon berhad
bone therapeutics 
delhaize grp 
0
0
insas berhad
ecm libra 
0
0
0
0
john bean 
0
max21 ag 
7105@bn.kl
beneteau sa 
kinepolis grp 
genting malaysia 
cie d'entreprises 
indiabulls properties 
dexia sa
0
0
berkshire hathaway 
les v?randas 
shareholder value 
best buy 
pt bentoel 
bever holding 
ontex group 
pns
sharehold.val.bet.na o.n.
0
celyad sa
thai beverage 
proximus  
bedmutha industries 
biocartis group 
pharco sa
0
tasek corporation 
0
pt tower 
9377@om.kl
melexis nv
0
beaufield resources 
bellzone mining 
0
solvay sa
bellatrix exploration 
befimmo nv/sa
nrb industrial 
0
kelington group 
belmond ltd.
0
beate uhse 
0
0
beardsell ltd 
0
reckitt benckiser 
imf bentham 
0
bell equipment 
be semicon.indsinh.eo-,01
0
nrb industrial 
dxbf.f
dexia
0
spirit bear 
sport lisboa 
0
orange belgium 
uem sunrise 
banestes s.a 
nrb bearings 
0
5175@bn.kl
0
0
benakat integra 
0
0
global oriental 
0
tataglobal6.bo
0
best union 
sofina soci?t? 
1023@bn.kl
banque nationale 
7108@bn.kl
tropicana corporation 
5228or.kl
berkshire hathaway 
bezant resources 
bedrocan cannabis 
0
focus point 
ucb  
care property 
0
realdolmen nv
0
0
ludw.beck a.rathauseck
0
valiant holding 
dt.beamtenvors.i.hld o.n.
0
beardsell ltd 
beta syst.softw. 
0
beach energy 
compagnie d'entreprises 
comm.va wereldhave 
0
0
berkshire hathaway 
mdxhealth sa
rbc bearings 
be semiconductor 
0
belimo holding 
0
berkeley energia 
0
nv bekaert 
0
menon bearings 
taiwan benefit 
0
5161@bn.kl
7182@bn.kl
0
swing media 
5274@bn.kl
v72c.sg
e.a. technique 
9458@bn.kl
0
0
financiere et 
warehouses de 
benchmark bankbees
0167@bn.kl
bharat electronics 
bekaert p.s.
0
beiersdorf
0
compagnie d'entreprises 
0
0
thai beverage 
0
0
belle corp
invex operadora 
0
0
hibiscus petroleum 
beneteau  
0
0
0
wcm beteiligungs- 
carimin petroleum 
0
silver bear 
euronav nv 
belmont resources 
bec world 
cliq energy 
cincinnati bell 
reckitt benck.grp 
bellicum pharma.dl-01
berjaya corporation 
7204@bn.kl
0
tessenderlo group 
proximus 
0
0
bpost  
0
befimmo 
beta syst.softw.ag 
bedford holdings 
0
lafarge malaysia 
leasinvest real 
0
goldman sachs 
the berkeley 
bpost sa/nv
0045@bn.kl
deleum berhad
0
0
5606pa@om.kl
0
0081@bn.kl
0
0
0
2003@om.kl
nbg6.sg
regal beloit 
intl bethlehem 
van de 
0
ucb 
ucb sa
umicore  
tata global 
wcm bet.grd.ag 
5171@bn.kl
0179@bn.kl
international bethlehem 
ho bee 
0
berkshire income 
beijing jingkelong 
westports holdings 
master-pack group 
hong leong 
0069@bn.kl
scanwolf corporation 
beximco pharmaceuticals 
5232@bn.kl
jkg land 
genk logistics
celyad  
sally beauty 
rupebar.bo
0
elia system 
thai beverage 
intervest offices 
smart employee 
thrombogenics n.v.
0140@bn.kl
smart employee 
oxbei.sw
tatt giap 
0
0
park u.bellheimer 
groupe bruxelles 
berksh. h.b 
0
0172@bn.kl
0
1147@bn.kl
best world 
0
silver bear 
nuernberger bet.ag 
0
0
bioalpha holdings 
benefitfocus  
0
0
beach energy 
0
goldman sachs 
shree benzophen 
reibel 
bega cheese 
goldman sachs 
0
ecs ict 
0
baring emerging 
0
boardwalk real 
immopool
0
ludw.beck a.rath.eck-textil.agi
bone therapeutics 
0
goldman sachs 
0
0
5202@bn.kl
vestel beyaz 
reckitt benck.grp 
5209@bn.kl
6084@bn.kl
0
scheerders van 
0104@bn.kl
shriram bearings 
max 21 
umicore 
0
5152@bn.kl
0
beximco pharmaceuticals 
0
chin hin 
4energy invest 
bec world 
5264@bn.kl
dt.tech.bet.ag o.n.
petercam 
montea comm.va
bega cheese 
0
0
dt.beteilig.ag na 
berkley renewables 
gbk beteiligungen 
materion corporation
0
hellenic sugar 
0
bell food 
ter beke 
belapart sa 
0
scc holdings 
halex holdings 
0041@bn.kl
thrombogenics n.v.
0
imaspro corporation 
melexis nv
0
tessenderlo group 
vsolar group 
0
balfour beatty 
hms bergbau 
touchstar plc
0
benesse holdings
berl.effektenges.ag o.n.
deutsche technologie 
4731@bn.kl
0
ums-neiken group 
7676@bn.kl
best eastern 
0
5146@bn.kl
proximus 
0
berau coal 
colruyt
0
bffid
1902@bn.kl
hartalega holdings 
0
0
van de 
betala global 
modern beauty 
bone therapeutics 
beadell resources 
0
5263@bn.kl
banaras beads 
0
beml6.bo
berkshire hathaway 
dt.technol.beteil.ag detebe 
raya international 
0
bella casa 
bengal steel 
red sena 
7253@bn.kl
beardsell ltd 
seacera group 
dexia sa
0
5170@bn.kl
0
paddy power 
0
goldman sachs 
etablissements delhaize 
0
0
0
berliner effektengesellschaft 
brekford traffic 
sokoman iron 
lorne park 
gazit globe 
bfe corporation
tanager energy 
pembina pipeline 
pinestar gold 
0
premium exploration
manitou bf 
macquarie global 
albert mining 
fairfax financial 
ct real 
biofuels power 
srisawad finance 
boyd group 
sophiris bio
plymouth realty 
bfutiliti.ns
swift resources 
cic capital 
tye soon 
bfcgo.ba
banca finnat 
bosch fren 
0
rockwealth resources 
0
b4mc gold 
sunoil ltd.
tiong seng 
0
canso select 
bns preferred 
dios exploration 
northern sun 
pharmesis international 
legend power 
tcs group 
royal bank 
bfl developers 
brown-forman corp 
bf utilities 
bfy.a
bastfaserkontor ag
gordon creek 
bfcho.ba
sophiris bio 
christopher & 
decade resources 
0
brown-forman corp 
manitou b.f. 
the hydropothecary 
ma.to
bfcbo.ba
brazilian frpra
manitou bf 
swift resources 
srisawad finance 
decisive dividend 
global telecom 
bilfinger se
saint jean 
western troy 
bfutilitie6.bo
brioschi sviluppo 
maplewood international 
fabchem china 
tantalex resources 
bf investment 
crescent senior 
plymouth realty 
bilfinger se
bangalore fort 
b.fond.comun
manitou bf 
0
brown-forman  
bioforce nanosciences 
nevada energy 
enbridge inc 
newmarket gold 
brazilian frprb
saul centers 
intercept energy 
bf investment 
sophiris bio 
0
certive solutions 
bbx capital 
relevium technologies 
sqs india 
bf utilities 
bonifiche ferraresi 
brown-forman corporation
manitou bf 
s.n.g.n. romgaz 
mangazeya mining 
dios exploration 
bob evans 
zcob zcoba
sqs india 
rockbridge resources 
millennial lithium 
royalty north 
columbus cmnty 
bunge limited
lithium x 
playfair mining 
nevada iron 
bg group 
bgt corporation 
bluestem group 
bgr energy 
sonoro metals 
big sky 
buccaneer gold 
bison gold 
bravada gold 
proximus plc
0
bgeo group 
bgeo group 
bgip4f.sa
bgo.sg
360 capital 
fubon finl 
capricor therap 
zomedica pharmaceuticals 
bligh resources 
bgo.be
0
bgd corporation 
bgoa.mu
bgrenergy6.bo
berchtesgadener bergbahn 
bgip3f.sa
biogaia ab
reparo energy 
0
bunge limited
swiber holdings 
bharatiya global 
magnum goldcorp 
manson creek 
china high-speed 
icon exploration 
bgsf.a
unity mining 
reparo energy 
bga.cn
bgc partners
bharatiya global 
0
ebioss energy, 
bgr energy 
konink.bam gp 
bridgestone  
0
briscoe group 
big 5 
proximus plc
bgr energy 
savencia  
0
china high-speed 
bgi.a
bio-bridge science
bank of 
bega cheese 
biogaia ab 
cortez gold 
icon exploration 
0
lions gate 
bgil films 
bio-gate ag 
bio-gate ag 
barnes grp 
mejority capital 
0
bio green 
bgo.f
borgwarner  
bioneutra global 
lions gate 
birimian limited
icon exploration 
oxford resources 
b.g.i. investments 
bridgestone 
bangkok bank 
element 79 
movit media 
0
mallinckrodt plc 
rbm1.f
bgt corporation 
bgo.mu
eguana technologies 
konink.bam gp 
zenitas healthcare 
big 5 
savencia  
greenbank capital 
bharatiya global 
bank of 
bgi 
china high 
bridgestone 
canoe eit 
biogaia ab 
bigair group 
bharatiya global 
0
logicquest technology
0
rockcliff resources 
bg group 
bochum-gelsenkirchener straaenbahnen 
bgc partners 
borgwarner 
borgwarner  
estrella international 
explor resources 
e fund 
bgeo group 
bio-gate ag 
konink.bam gp 
china high-speed 
koninklijke bam 
big c 
0
bhagwati autocast 
savencia sa
0
golden secret 
public joint 
blackstone/gso loan 
ioi corp 
bharti infratel 
bharat petroleum 
bhp billiton 
bhp billiton 
bh macro 
bonia corporation 
salcon bhd
cyl  
magni-tech industries 
globetronics technology 
petronas gas 
mycron steel 
mudajaya group 
telekom malaysia 
cycle & 
carlsberg brewery 
ioi bhd
stemlife bhd
top glove 
rt minerals 
riverstone energy 
richmond minerals 
malaysia smelting 
media prima 
mega first 
simavita limited
fission 3.0 
engagement labs 
digi.com berhad
caza gold 
crimson bioenergy 
can-one bhd
black isle 
bhp billiton 
bhp billiton 
bhartiya international 
henry boot 
blackheath resources 
sunningdale tech 
bhp billiton 
boohoo.com plc
pt mnc 
bhilwara tex-fin 
bhilwara spinners 
bharat heavy 
bheema cements 
bharat seats 
bhandari hosiery 
bhageria industries 
big sky 
bharati defence 
rex industry 
0
mitrajaya holdings 
gadang holdings 
reliance pacific 
8877@bn.kl
ekovest berhad
leweko resources 
crest builder 
mah sing 
lbi capital 
hwa tai 
0
perak  
pesona metro 
sapura industrial 
rapid synergy 
hai-o enterprise 
scgm bhd
bhs industries 
7225@bn.kl
transocean holdings 
freight management 
euro holdings 
classic scenic 
0
7200@bn.kl
ire-tex  
7174@bn.kl
0
0
skp resources 
ccm duopharma 
niche capital 
smis  
london biscuits 
priceworth international 
d nonce 
7110@om.kl
unimech group 
lii hen 
ltkm bhd
7082@bn.kl
syf resources 
pharmaniaga bhd
new hoong 
scomi energy 
thong guan 
7022@bn.kl
7018@bn.kl
chuan huat 
nakamichi  
mnrb holdings 
malton bhd
a & 
bina puri 
country heights 
muhibbah engineering 
petronas dagangan 
ipmuda berhad
southern steel 
integrated logistics 
grand central 
minho m 
shangri-la hotels 
ncb holdings 
0
0
samchem holdings 
5141@bn.kl
0
0
5092@bn.kl
lcth  
ibraco berhad
cymao holdings 
pba holdings 
hup seng 
hunza properties 
merge energy 
mieco chipboard 
pos malaysia 
sapura resources 
tan chong 
sime darby 
pan malaysia 
mulpha international 
melewar industrial 
ecofirst consolidated 
marco holdings 
ijm corporation 
genting berhad
fima  
0
ci holdings 
selangor dredging 
eastland equity 
harbour-link group 
tdm berhad
chin teck 
